°C;grad Celsius
µg;microgramm
µg;microgramm
µl;microliter
µM;micromolar
A;Adenin
ATP;Adenosintriphosphat
bp;Basenpaar
C;Cytosin
c\textsubscript{q}-Wert;\textit{cycle quantification}-Wert
cDNA;\textit{complementary} Desoxyribonukleinsäure
Cy5;Cyanine 5
d.h.;das heißt
DdRp;DNA abhängigen RNA-Polymerase
DEAE;Diethylaminoethyl
DFA;direktes Fluoreszenz Antikörper Assay
DNA;Desoxyribonukleinsäure
EDTA;Ethylendiamintetraessigsäure
et al.;
Exo;Exonuklease III
FAM;Carboxyfluorescein
fpg;Formamidopyrimidin DNA glykosylase
FRET;Förster-Resonanzenergietransfer
G;Guanin
h;Stunde
H\textsubscript{2}O\textsubscript{DEPC};PCR reines Wasser, Nuklease- und Nukleinsäure-frei, DEPC behandelt
HA;Hämagglutinin
HEX;Hexachlorofluorescein
HPV;humanes Metapneumovirus
hRSV;humanes Respiratorisches Synzytial-Virus
IA;isotherme Amplifikationstechniken
iQ;\textit{internally Quenched}
IRES;\textit{internal ribosomal entry site}
kb;kilobasen
LAMP;Schleifenvermittelte isotherme Amplifikation
LB;\textit{lysogenic broth}
M1;Matrixprotein
M2;Membranprotein
MAD;absolute Standardabweichung
min;Minute
ml;milliliter
mM;Millimolar
mRNA;\textit{messenger] Ribonukleinsäure
NA;Neuraminidase
NAAT;Nukleinsäure amplifizierende Methoden
NASBA;Nukleinsäure sequenz-basierte Amplifikation
NCIRD;Nationales Center für Immunisierung und Respiratorische Krankheiten
NEB;"New England
BioLabs"
NEP;\textit{nuclear export protein}
nfo;Endonuklease IV
ng;nanogramm
nm;nanometer
nm;nanometer
NS1;Nichtstrukturprotein 1
ORF;offener Leserahmen
PCR;Polymerase-Kettenreaktion
POCT;\textit{point-of-care testing}
PSM;Primer-Sonden-Mix
qPCR;quantitative Polymerase-Kettenreaktion
RIDT;\textit{rapid influenza diagnosis tests}
RNA;Ribonukleinsäure
RPA;Rekombinase Polymerase Amplifikation
RPM;\textit{round per minute}
RT;reverse  Transkription
RT-PCR;reverse -Transkriptase-Polymerase-Kettenreaktion
RT-qPCR;reverse-Transkriptase-quantitative-Polymerase-Kettenreaktion
s;sekunde
SARS-CoV-2;\textit{severe acute respiratory syndrome coronavirus type 2}
SD;Standardabweichung
SNR;Signal-Rausch-Verhältnis
SSB;\textit{single-stranded binding} protein
T;Thymin
TE-Puffer;TRIS-EDTA-Puffer
TRIS;Tris(hydroxymethyl)aminomethan
TT-Wert;\textit{threshold time} Wert
U;unit
vRPN;\textit{viral ribonucleoprotein}
VTM;Virus Transport Medium
z.B.;zum Beispiel
ca.;
cRNP;\textit{complementary ribonucleoprotein}
THF;a-basische Seite
RT-RPA;reverse Transkriptase Rekombinase Polymerase Amplifikation
bzw.;beziehungsweise
